S_b,S_d,time
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.6032,18.0
 1.0,1.0,18.0
 0.5,1.9662,18.0
 1.0,1.0,18.0
 0.5,1.7177,18.0
 0.5,1.8298,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.569,18.0
 0.5,1.7826,18.0
 1.0,1.0,18.0
 0.5,1.9261,18.0
 0.5,1.7,18.0
 0.5,1.6361,18.0
 0.5,1.7912,18.0
 0.5,1.6924,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9494,18.0
 0.5,1.9764,18.0
 1.0,1.0,18.0
 0.5,1.7254,18.0
 1.0,1.0,18.0
 0.5,1.9283,18.0
 1.0,1.0,18.0
 0.5,1.8908,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8605,18.0
 0.5,1.7059,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9098,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8614,18.0
 0.5,1.7716,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9559,18.0
 0.5,1.9747,18.0
 0.5,1.8355,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.553,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8729,18.0
 1.0,1.0,18.0
 0.5,1.8221,18.0
 1.0,1.0,18.0
 0.5,1.8559,18.0
 0.5,1.9203,18.0
 0.5,1.8182,18.0
 1.0,1.0,18.0
 0.5,1.7972,18.0
 0.5,1.9149,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7892,18.0
 0.5,1.8331,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.5592,18.0
 1.0,1.0,18.0
 0.5,1.9359,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.5657,18.0
 0.5,1.7693,18.0
 0.5,1.9332,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.898,18.0
 0.5,1.9951,18.0
 0.5,1.9137,18.0
 0.5,1.9584,18.0
 0.5,1.9442,18.0
 0.5,1.9492,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.6165,18.0
 0.5,1.9182,18.0
 0.5,1.5482,18.0
 0.5,1.7477,18.0
 1.0,1.0,18.0
 0.5,1.952,18.0
 0.5,1.8891,18.0
 0.5,1.7455,18.0
 0.5,1.956,18.0
 0.5,1.8674,18.0
 0.5,1.7132,18.0
 0.5,1.737,18.0
 0.5,1.9837,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.878,18.0
 0.5,1.6291,18.0
 1.0,1.0,18.0
 0.5,1.5552,18.0
 1.0,1.0,18.0
 0.5,1.9835,18.0
 0.5,1.8235,18.0
 1.0,1.0,18.0
 0.5,1.8507,18.0
 0.5,1.8773,18.0
 0.5,1.8941,18.0
 1.0,1.0,18.0
 0.5,1.9394,18.0
 0.5,1.843,18.0
 0.5,1.9547,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7929,18.0
 0.5,1.9632,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7202,18.0
 0.5,1.8267,18.0
 0.5,1.8825,18.0
 0.5,1.8607,18.0
 1.0,1.0,18.0
 0.5,1.8096,18.0
 0.5,1.9296,18.0
 0.5,1.8531,18.0
 0.5,1.7774,18.0
 0.5,1.8837,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8575,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.4714,18.0
 0.5,1.7548,18.0
 0.5,1.6496,18.0
 0.5,1.8441,18.0
 0.5,1.952,18.0
 0.5,1.9118,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8169,18.0
 1.0,1.0,18.0
 0.5,1.7024,18.0
 1.0,1.0,18.0
 0.5,1.8261,18.0
 1.0,1.0,18.0
 0.5,1.6687,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9106,18.0
 0.5,1.6474,18.0
 1.0,1.0,18.0
 0.5,1.8285,18.0
 1.0,1.0,18.0
 0.5,1.7411,18.0
 0.5,1.6327,18.0
 0.5,1.6822,18.0
 1.0,1.0,18.0
 0.5,1.8019,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8344,18.0
 0.5,1.8954,18.0
 0.5,1.5768,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8386,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9009,18.0
 1.0,1.0,18.0
 0.5,1.8245,18.0
 0.5,1.9462,18.0
 1.0,1.0,18.0
 0.5,1.8098,18.0
 0.5,1.9887,18.0
 0.5,1.8091,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8179,18.0
 1.0,1.0,18.0
 0.5,1.9353,18.0
 0.5,1.6549,18.0
 1.0,1.0,18.0
 0.5,1.9015,18.0
 1.0,1.0,18.0
 0.5,1.9769,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8191,18.0
 0.5,1.9902,18.0
 0.5,1.8654,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.6728,18.0
 0.5,1.5737,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8369,18.0
 1.0,1.0,18.0
 0.5,1.9132,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9639,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7935,18.0
 1.0,1.0,18.0
