Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
813,813,813,2.0150162773575175,18.19424687275722,1.00750814,0.03850818,0.5
455,455,455,2.015024142581344,18.19434823558642,1.00751207,0.03850818,0.5
1258,1258,1258,2.016178457135003,18.209220140412437,1.00808923,0.03850818,0.5
1738,1738,1738,2.016258246045349,18.210247806475277,1.00812912,0.03850818,0.5
1743,1743,1743,2.0170593486718693,18.220563603306278,1.00852967,0.03850818,0.5
283,283,283,2.0171299410524592,18.22147242481254,1.00856497,0.03850818,0.5
1169,1169,1169,2.018904260174473,18.244304950921162,1.00945213,0.03850818,0.5
1249,1249,1249,2.018940339947422,18.24476902919261,1.00947017,0.03850818,0.5
1416,1416,1416,2.019005907952445,18.245612380410286,1.00950295,0.03850818,0.5
1481,1481,1481,2.0190158053936824,18.24573968126564,1.0095079,0.03850818,0.5
1438,1438,1438,2.0193943029216137,18.250607446986695,1.00969715,0.03850818,0.5
361,361,361,2.0194191342735808,18.250926765142975,1.00970957,0.03850818,0.5
1760,1760,1760,2.0195297281368343,18.252348896506255,1.00976486,0.03850818,0.5
1475,1475,1475,2.019553212264272,18.252650869911847,1.00977661,0.03850818,0.5
1151,1151,1151,2.0199563380366348,18.257833962488778,1.00997817,0.03850818,0.5
1926,1926,1926,2.020446347847536,18.26413275302368,1.01022317,0.03850818,0.5
312,312,312,2.0219755685799994,18.283780176139825,1.01098778,0.03850818,0.5
117,117,117,2.021984229550894,18.283891409943767,1.01099211,0.03850818,0.5
252,252,252,2.0224200871277844,18.289488561624157,1.01121004,0.03850818,0.5
878,878,878,2.022890507423392,18.295528203953943,1.01144525,0.03850818,0.5
912,912,912,2.0230610311222335,18.297717180497305,1.01153052,0.03850818,0.5
398,398,398,2.023668903756281,18.30551881163955,1.01183445,0.03850818,0.5
1713,1713,1713,2.0240400473600224,18.310281034814082,1.01202002,0.03850818,0.5
1380,1380,1380,2.0242073533130687,18.31242748783948,1.01210368,0.03850818,0.5
1531,1531,1531,2.024235213920511,18.31278490848778,1.01211761,0.03850818,0.5
796,796,796,2.025109287268364,18.32399580124519,1.01255464,0.03850818,0.5
1352,1352,1352,2.02518729881583,18.324996144634913,1.01259365,0.03850818,0.5
248,248,248,2.025613861354546,18.330465281958205,1.01280693,0.03850818,0.5
1909,1909,1909,2.025814354997481,18.33303549722319,1.01290718,0.03850818,0.5
1859,1859,1859,2.02644434047918,18.341109900219763,1.01322217,0.03850818,0.5
1625,1625,1625,2.026531009255437,18.34222052086403,1.0132655,0.03850818,0.5
402,402,402,2.0274762265261854,18.354329964118783,1.01373811,0.03850818,0.5
1453,1453,1453,2.027670267608636,18.3568151803466,1.01383513,0.03850818,0.5
1435,1435,1435,2.0284895408427275,18.367305549103875,1.01424477,0.03850818,0.5
1426,1426,1426,2.028556228820721,18.368159267583266,1.01427811,0.03850818,0.5
0,0,0,2.029215843718361,18.376601938288104,1.01460792,0.03850818,0.5
