S_b,S_d,gr,cycletime,time
 0.5,1.894,0.0385,34.587,19.8
 0.5,1.9049,0.0385,34.735,19.8
 0.5,2.109,0.0385,37.3791,19.8
 0.5,1.8103,0.0385,33.4128,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7305,0.0385,32.2428,19.8
 0.5,2.0399,0.0385,36.5135,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.8022,0.0385,33.296,19.8
 0.5,1.9661,0.0385,35.5572,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.015,0.0385,36.1948,19.8
 0.5,1.8931,0.0385,34.574,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0972,0.0385,37.2325,19.8
 0.5,1.5504,0.0385,29.389,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9863,0.0385,35.8221,19.8
 0.5,1.9883,0.0385,35.8486,19.8
 0.5,2.0586,0.0385,36.7503,19.8
 0.5,1.5948,0.0385,30.1216,19.8
 0.5,1.7259,0.0385,32.1724,19.8
 0.5,1.9075,0.0385,34.7712,19.8
 0.5,1.7903,0.0385,33.1248,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9677,0.0385,35.5779,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7541,0.0385,32.5935,19.8
 0.5,1.8023,0.0385,33.2972,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7828,0.0385,33.015,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.4226,0.0385,27.155,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0862,0.0385,37.096,19.8
 0.5,2.1065,0.0385,37.3478,19.8
 0.5,1.7287,0.0385,32.2148,19.8
 0.5,1.8513,0.0385,33.9944,19.8
 0.5,1.4436,0.0385,27.5353,19.8
 0.5,1.7235,0.0385,32.1364,19.8
 0.5,1.9485,0.0385,35.3236,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6896,0.0385,31.6217,19.8
 0.5,2.1131,0.0385,37.4287,19.8
 0.5,1.6812,0.0385,31.4913,19.8
 0.5,2.0819,0.0385,37.0431,19.8
 0.5,2.1128,0.0385,37.4259,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0528,0.0385,36.6776,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0,0.0385,36.0,19.8
 0.5,1.5663,0.0385,29.6527,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.3691,0.0385,26.1585,19.8
 0.5,1.6493,0.0385,30.9933,19.8
 0.5,1.6986,0.0385,31.7596,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6403,0.0385,30.8518,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.8942,0.0385,34.5895,19.8
 0.5,1.5897,0.0385,30.0376,19.8
 0.5,2.0586,0.0385,36.7511,19.8
 0.5,2.0397,0.0385,36.5111,19.8
 0.5,2.0802,0.0385,37.0217,19.8
 0.5,1.6948,0.0385,31.7009,19.8
 0.5,1.7475,0.0385,32.4958,19.8
 0.5,1.64,0.0385,30.8473,19.8
 1.0,1.0,0.0385,0.0,19.8
