S_b,S_d,gr,cycletime,time
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9274,0.0385,35.0401,18.0
 0.5,1.9853,0.0385,35.8093,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9801,0.0385,35.7408,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9402,0.0385,35.2121,18.0
 0.5,1.7734,0.0385,32.8775,18.0
 0.5,1.9918,0.0385,35.8933,18.0
 0.5,1.7143,0.0385,31.9978,18.0
 0.5,1.592,0.0385,30.0751,18.0
 0.5,1.7571,0.0385,32.6388,18.0
 0.5,1.7572,0.0385,32.6403,18.0
 0.5,1.956,0.0385,35.4233,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9168,0.0385,34.8976,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.764,0.0385,32.74,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.6997,0.0385,31.7754,18.0
 0.5,1.7302,0.0385,32.2372,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7212,0.0385,32.1024,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9022,0.0385,34.6981,18.0
 0.5,1.6898,0.0385,31.6243,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.6049,0.0385,30.2856,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.952,0.0385,35.3704,18.0
 0.5,1.843,0.0385,33.8777,18.0
 0.5,1.7573,0.0385,32.6418,18.0
 0.5,1.9443,0.0385,35.2669,18.0
 0.5,1.6042,0.0385,30.2741,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9713,0.0385,35.6258,18.0
 0.5,1.5449,0.0385,29.2966,18.0
 1.0,1.0,0.0385,0.0,18.0
