Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
25,220,124,1.5697671475638186,29.70991029375581,0.78488357,0.03850818,0.5
19,19,19,1.5740696186424263,29.78098830731537,0.78703481,0.03850818,0.5
19,221,19,1.5740696186424263,29.78098830731537,0.78703481,0.03850818,0.5
91,91,91,1.5765543581409696,29.821948446130456,0.78827718,0.03850818,0.5
91,222,91,1.5765543581409696,29.821948446130456,0.78827718,0.03850818,0.5
87,172,172,1.5880759863276896,30.011038996795158,0.79403799,0.03850818,0.5
87,223,172,1.5880759863276896,30.011038996795158,0.79403799,0.03850818,0.5
77,77,77,1.592970023842565,30.090944138446762,0.79648501,0.03850818,0.5
77,224,77,1.592970023842565,30.090944138446762,0.79648501,0.03850818,0.5
33,140,140,1.5987946756100089,30.185724120123727,0.79939734,0.03850818,0.5
33,225,140,1.5987946756100089,30.185724120123727,0.79939734,0.03850818,0.5
96,96,96,1.603318847498655,30.259104456947746,0.80165942,0.03850818,0.5
96,226,96,1.603318847498655,30.259104456947746,0.80165942,0.03850818,0.5
39,170,170,1.6039682751480655,30.269620926768845,0.80198414,0.03850818,0.5
39,227,170,1.6039682751480655,30.269620926768845,0.80198414,0.03850818,0.5
23,23,23,1.6095295811289159,30.359503655625463,0.80476479,0.03850818,0.5
23,228,23,1.6095295811289159,30.359503655625463,0.80476479,0.03850818,0.5
0,0,0,1.61062884048344,30.377233298531767,0.80531442,0.03850818,0.5
0,229,0,1.61062884048344,30.377233298531767,0.80531442,0.03850818,0.5
55,55,55,1.6219793154563886,30.559597586630904,0.81098966,0.03850818,0.5
55,230,55,1.6219793154563886,30.559597586630904,0.81098966,0.03850818,0.5
22,22,22,1.6228182670529498,30.57302605079471,0.81140913,0.03850818,0.5
22,231,22,1.6228182670529498,30.57302605079471,0.81140913,0.03850818,0.5
76,76,76,1.6264434162732655,30.63097137787665,0.81322171,0.03850818,0.5
76,232,76,1.6264434162732655,30.63097137787665,0.81322171,0.03850818,0.5
80,80,80,1.6487739068135676,30.98508441029096,0.82438695,0.03850818,0.5
80,233,80,1.6487739068135676,30.98508441029096,0.82438695,0.03850818,0.5
24,109,109,1.6501812403315361,31.007240733221945,0.82509062,0.03850818,0.5
24,234,109,1.6501812403315361,31.007240733221945,0.82509062,0.03850818,0.5
4,166,166,1.652320593297396,31.040885418997735,0.8261603,0.03850818,0.5
4,235,166,1.652320593297396,31.040885418997735,0.8261603,0.03850818,0.5
79,79,79,1.6589887744481202,31.14547423788667,0.82949439,0.03850818,0.5
79,236,79,1.6589887744481202,31.14547423788667,0.82949439,0.03850818,0.5
11,11,11,1.662193362921173,31.195587970016323,0.83109668,0.03850818,0.5
11,237,11,1.662193362921173,31.195587970016323,0.83109668,0.03850818,0.5
15,15,15,1.6642532348382664,31.227749504109294,0.83212662,0.03850818,0.5
15,238,15,1.6642532348382664,31.227749504109294,0.83212662,0.03850818,0.5
84,139,139,1.676233572733996,31.414017485435313,0.83811679,0.03850818,0.5
84,239,139,1.676233572733996,31.414017485435313,0.83811679,0.03850818,0.5
36,36,36,1.6791238610338894,31.458755789947713,0.83956193,0.03850818,0.5
36,240,36,1.6791238610338894,31.458755789947713,0.83956193,0.03850818,0.5
60,162,162,1.692048384589931,31.657874819580922,0.84602419,0.03850818,0.5
60,241,162,1.692048384589931,31.657874819580922,0.84602419,0.03850818,0.5
3,114,114,1.693992784200691,31.687699127792275,0.84699639,0.03850818,0.5
3,242,114,1.693992784200691,31.687699127792275,0.84699639,0.03850818,0.5
